path,size_bytes,reason
.hypothesis/constants/4b3f2d041ef1550e,297,Hypothesis test examples — auto-generated
.hypothesis/constants/52eefa2260b7a87b,303,Hypothesis test examples — auto-generated
.hypothesis/constants/54b9edab42c2fddd,259,Hypothesis test examples — auto-generated
.hypothesis/constants/563433c111817745,555,Hypothesis test examples — auto-generated
.hypothesis/constants/5d178c9e69e5e7cd,532,Hypothesis test examples — auto-generated
.hypothesis/constants/622b7646616e8a3c,381,Hypothesis test examples — auto-generated
.hypothesis/constants/62e432ed3054149a,410,Hypothesis test examples — auto-generated
.hypothesis/constants/6478b2f34747957f,419,Hypothesis test examples — auto-generated
.hypothesis/constants/64893c5777f14a6c,1203,Hypothesis test examples — auto-generated
.hypothesis/constants/698ca020b44c5a31,145,Hypothesis test examples — auto-generated
.hypothesis/constants/69914524ad878cb0,840,Hypothesis test examples — auto-generated
.hypothesis/constants/6a305181b1462ab3,369,Hypothesis test examples — auto-generated
.hypothesis/constants/6d07d9f7dde4abde,173,Hypothesis test examples — auto-generated
.hypothesis/constants/7225ff15af022731,396,Hypothesis test examples — auto-generated
.hypothesis/constants/72ab2c77ebbac9b2,2423,Hypothesis test examples — auto-generated
.hypothesis/constants/74184f01267b22a8,585,Hypothesis test examples — auto-generated
.hypothesis/constants/76458775e4f4701a,269,Hypothesis test examples — auto-generated
.hypothesis/constants/76ac2026a7713212,121,Hypothesis test examples — auto-generated
.hypothesis/constants/77e34f826f21c5da,138,Hypothesis test examples — auto-generated
.hypothesis/constants/797825d0d4b7989c,143,Hypothesis test examples — auto-generated
.hypothesis/constants/82287c54c103cbda,225,Hypothesis test examples — auto-generated
.hypothesis/constants/827969f13f5a36e6,342,Hypothesis test examples — auto-generated
.hypothesis/constants/83345873bded1224,981,Hypothesis test examples — auto-generated
.hypothesis/constants/8646f051aebc2914,396,Hypothesis test examples — auto-generated
.hypothesis/constants/8c37265fb8f2ca8b,249,Hypothesis test examples — auto-generated
.hypothesis/constants/8e39769896db3183,391,Hypothesis test examples — auto-generated
.hypothesis/constants/8e67b4a393e96c00,149,Hypothesis test examples — auto-generated
.hypothesis/constants/8f92188fabdfd8d6,197,Hypothesis test examples — auto-generated
.hypothesis/constants/91db07935d15834f,165,Hypothesis test examples — auto-generated
.hypothesis/constants/931ef42347adca16,191,Hypothesis test examples — auto-generated
.hypothesis/constants/93811999db057a99,845,Hypothesis test examples — auto-generated
.hypothesis/constants/95d9ac1c3065dd66,637,Hypothesis test examples — auto-generated
.hypothesis/constants/96a43427b0184a1b,159,Hypothesis test examples — auto-generated
.hypothesis/constants/9826fe33dc23ac41,342,Hypothesis test examples — auto-generated
.hypothesis/constants/988897001bd452a2,285,Hypothesis test examples — auto-generated
.hypothesis/constants/9a0daa5ba05a5b8c,459,Hypothesis test examples — auto-generated
.hypothesis/constants/9ad2f5e814336307,185,Hypothesis test examples — auto-generated
.hypothesis/constants/9de19cb736c915b2,276,Hypothesis test examples — auto-generated
.hypothesis/constants/9ea3a3c0c999f252,178,Hypothesis test examples — auto-generated
.hypothesis/constants/9f5072cd6e2f3ae7,109,Hypothesis test examples — auto-generated
.hypothesis/constants/9fa6ccef03257fa3,1586,Hypothesis test examples — auto-generated
.hypothesis/constants/a248dd0f905aaf53,194,Hypothesis test examples — auto-generated
.hypothesis/constants/a26a87acc06db2ce,191,Hypothesis test examples — auto-generated
.hypothesis/constants/a4cd37a470a70a83,274,Hypothesis test examples — auto-generated
.hypothesis/constants/a50bc4d59b6738d7,450,Hypothesis test examples — auto-generated
.hypothesis/constants/a55cdc3ab0a47ed7,3651,Hypothesis test examples — auto-generated
.hypothesis/constants/a77389c435c7ce8b,728,Hypothesis test examples — auto-generated
.hypothesis/constants/a928e0d48bab7765,236,Hypothesis test examples — auto-generated
.hypothesis/constants/aa4dbaf92fc6ff8f,622,Hypothesis test examples — auto-generated
.hypothesis/constants/aaaf4e90afb71b74,670,Hypothesis test examples — auto-generated
.hypothesis/constants/abf13d08ba566870,1354,Hypothesis test examples — auto-generated
.hypothesis/constants/acce8dbce78e4221,187,Hypothesis test examples — auto-generated
.hypothesis/constants/ad725a3bb459cce7,377,Hypothesis test examples — auto-generated
.hypothesis/constants/ae0870caf74a38f2,250,Hypothesis test examples — auto-generated
.hypothesis/constants/aebfb8afc03f93b5,380,Hypothesis test examples — auto-generated
.hypothesis/constants/b0c75807edf8419d,947,Hypothesis test examples — auto-generated
.hypothesis/constants/b3e6b319f912c2e6,161,Hypothesis test examples — auto-generated
.hypothesis/constants/b67b688c7ab9942e,117,Hypothesis test examples — auto-generated
.hypothesis/constants/b79b165334fb8de9,486,Hypothesis test examples — auto-generated
.hypothesis/constants/b921e9f675dade53,313,Hypothesis test examples — auto-generated
.hypothesis/constants/bbe3a134d01a42ed,111,Hypothesis test examples — auto-generated
.hypothesis/constants/bebd78d936dc1eb8,182,Hypothesis test examples — auto-generated
.hypothesis/constants/bfbd558bafca0b9a,391,Hypothesis test examples — auto-generated
.hypothesis/constants/c0143119a1a78d01,417,Hypothesis test examples — auto-generated
.hypothesis/constants/c1130a5acdf6169b,3012,Hypothesis test examples — auto-generated
.hypothesis/constants/c1d682e0af1fb56e,1120,Hypothesis test examples — auto-generated
.hypothesis/constants/c78c7fd1f76581e9,701,Hypothesis test examples — auto-generated
.hypothesis/constants/c98c83787045701d,343,Hypothesis test examples — auto-generated
.hypothesis/constants/ca2fe50a6b69c91e,223,Hypothesis test examples — auto-generated
.hypothesis/constants/ca3b0d1f1d162c50,479,Hypothesis test examples — auto-generated
.hypothesis/constants/cab5f120eda006b6,1218,Hypothesis test examples — auto-generated
.hypothesis/constants/d14a249cc1d82e48,1241,Hypothesis test examples — auto-generated
.hypothesis/constants/d1d45d39bc77e6c5,3024,Hypothesis test examples — auto-generated
.hypothesis/constants/d23756f7d3c9d3f3,745,Hypothesis test examples — auto-generated
.hypothesis/constants/d4426629a95232b2,196,Hypothesis test examples — auto-generated
.hypothesis/constants/d54a4ba6a060c6da,775,Hypothesis test examples — auto-generated
.hypothesis/constants/d5935a96907e230f,653,Hypothesis test examples — auto-generated
.hypothesis/constants/d6b2094930184c97,186,Hypothesis test examples — auto-generated
.hypothesis/constants/d752397be2899b6f,728,Hypothesis test examples — auto-generated
.hypothesis/constants/d796a9bf06fc85a0,416,Hypothesis test examples — auto-generated
.hypothesis/constants/dac053be94d86b01,1937,Hypothesis test examples — auto-generated
.hypothesis/constants/dc7c95961690594f,500,Hypothesis test examples — auto-generated
.hypothesis/constants/e431e92d127516a5,872,Hypothesis test examples — auto-generated
.hypothesis/constants/e4d79a2db9c9e8ab,235,Hypothesis test examples — auto-generated
.hypothesis/constants/e8554e8399bcf584,189,Hypothesis test examples — auto-generated
.hypothesis/constants/e8d59b090e0e64e4,131,Hypothesis test examples — auto-generated
.hypothesis/constants/ea3489154ba8a920,150,Hypothesis test examples — auto-generated
.hypothesis/constants/ecceeb2bf4000188,623,Hypothesis test examples — auto-generated
.hypothesis/constants/ee8a126aa8f7819e,617,Hypothesis test examples — auto-generated
.hypothesis/constants/f0b215caabcf1381,111,Hypothesis test examples — auto-generated
.hypothesis/constants/f4219a3f4b70dcf4,3533,Hypothesis test examples — auto-generated
.hypothesis/constants/f4771aa07a2ba71a,229,Hypothesis test examples — auto-generated
.hypothesis/constants/f4c1fc7a05886e68,548,Hypothesis test examples — auto-generated
.hypothesis/constants/f6868b0dbec60582,174,Hypothesis test examples — auto-generated
.hypothesis/constants/f8bfa5af97544cc6,202,Hypothesis test examples — auto-generated
.hypothesis/constants/fae09cf9587a350e,2497,Hypothesis test examples — auto-generated
.hypothesis/constants/fbcee21dc58c3517,820,Hypothesis test examples — auto-generated
.hypothesis/constants/fd3a4df98d8ede52,264,Hypothesis test examples — auto-generated
.hypothesis/examples/04e6b3400353b141/522605b2daa6d1da,48,Hypothesis test examples — auto-generated
.hypothesis/examples/04e6b3400353b141/6b4e18781d74e8bd,48,Hypothesis test examples — auto-generated
.hypothesis/examples/04e6b3400353b141/8fe71d1ebb336da2,48,Hypothesis test examples — auto-generated
.hypothesis/examples/04e6b3400353b141/df8fcab312f83ecc,48,Hypothesis test examples — auto-generated
.hypothesis/examples/522605b2daa6d1da/f975165bde16ae85,8,Hypothesis test examples — auto-generated
.hypothesis/examples/6b4e18781d74e8bd/1d7462696d89e311,6,Hypothesis test examples — auto-generated
.hypothesis/examples/8fe71d1ebb336da2/06441cc354dffa15,13,Hypothesis test examples — auto-generated
.hypothesis/examples/df8fcab312f83ecc/1236c0a13f38a176,4,Hypothesis test examples — auto-generated
.hypothesis/unicode_data/14.0.0/charmap.json.gz,21505,Hypothesis test examples — auto-generated
.hypothesis/unicode_data/14.0.0/codec-utf-8.json.gz,60,Hypothesis test examples — auto-generated
.mypy_cache/.gitignore,34,Mypy type checking cache — auto-generated
.mypy_cache/3.10/@plugins_snapshot.json,2,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ExifTags.data.json,144752,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ExifTags.meta.json,1631,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/GimpGradientFile.data.json,11931,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/GimpGradientFile.meta.json,1733,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/GimpPaletteFile.data.json,7769,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/GimpPaletteFile.meta.json,1709,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/Image.data.json,206156,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/Image.meta.json,2562,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImageCms.data.json,49115,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImageCms.meta.json,2019,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImageColor.data.json,5878,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImageColor.meta.json,1885,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImageFile.data.json,90324,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImageFile.meta.json,2121,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImageFilter.data.json,70353,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImageFilter.meta.json,1970,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImageMode.data.json,26049,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImageMode.meta.json,1650,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImageOps.data.json,27908,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImageOps.meta.json,1965,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImagePalette.data.json,24925,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImagePalette.meta.json,2054,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImageQt.data.json,13382,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImageQt.meta.json,2034,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImageShow.data.json,39236,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/ImageShow.meta.json,1977,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/PaletteFile.data.json,4931,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/PaletteFile.meta.json,1686,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/TiffImagePlugin.data.json,144704,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/TiffImagePlugin.meta.json,2297,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/TiffTags.data.json,42621,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/TiffTags.meta.json,1620,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/__init__.data.json,3360,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/__init__.meta.json,1631,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/_binary.data.json,10690,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/_binary.meta.json,1631,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/_deprecate.data.json,2888,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/_deprecate.meta.json,1648,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/_imaging.data.json,18835,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/_imaging.meta.json,1613,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/_imagingcms.data.json,82552,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/_imagingcms.meta.json,1855,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/_typing.data.json,8775,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/_typing.meta.json,1997,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/_util.data.json,7000,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/_util.meta.json,1844,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/_version.data.json,1818,Mypy type checking cache — auto-generated
.mypy_cache/3.10/PIL/_version.meta.json,1616,Mypy type checking cache — auto-generated
.mypy_cache/3.10/__future__.data.json,8657,Mypy type checking cache — auto-generated
.mypy_cache/3.10/__future__.meta.json,1671,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_ast.data.json,11572,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_ast.meta.json,1662,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_asyncio.data.json,59329,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_asyncio.meta.json,1790,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_bisect.data.json,81141,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_bisect.meta.json,1677,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_blake2.data.json,18666,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_blake2.meta.json,1692,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_bz2.data.json,10685,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_bz2.meta.json,1685,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_codecs.data.json,61384,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_codecs.meta.json,1728,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_collections_abc.data.json,31551,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_collections_abc.meta.json,1685,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_compat_pickle.data.json,4922,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_compat_pickle.meta.json,1642,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_compression.data.json,11644,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_compression.meta.json,1733,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_contextvars.data.json,75059,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_contextvars.meta.json,1724,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_csv.data.json,26173,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_csv.meta.json,1719,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_ctypes.data.json,223925,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_ctypes.meta.json,1737,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_decimal.data.json,9511,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_decimal.meta.json,1698,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_frozen_importlib.data.json,44321,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_frozen_importlib.meta.json,1798,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_frozen_importlib_external.data.json,68243,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_frozen_importlib_external.meta.json,1962,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_hashlib.data.json,42617,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_hashlib.meta.json,1715,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_heapq.data.json,9335,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_heapq.meta.json,1625,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_io.data.json,115629,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_io.meta.json,1739,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_locale.data.json,25107,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_locale.meta.json,1665,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_lsprof.data.json,17629,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_lsprof.meta.json,1689,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_operator.data.json,104289,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_operator.meta.json,1733,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_pickle.data.json,40436,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_pickle.meta.json,1727,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_queue.data.json,14044,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_queue.meta.json,1665,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_random.data.json,6977,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_random.meta.json,1665,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_sitebuiltins.data.json,8726,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_sitebuiltins.meta.json,1685,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_socket.data.json,97568,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_socket.meta.json,1728,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_sqlite3.data.json,42813,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_sqlite3.meta.json,1743,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_ssl.data.json,79633,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_ssl.meta.json,1730,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_stat.data.json,28351,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_stat.meta.json,1652,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_struct.data.json,15648,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_struct.meta.json,1704,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_thread.data.json,60941,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_thread.meta.json,1755,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_typeshed/__init__.data.json,127578,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_typeshed/__init__.meta.json,1753,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_typeshed/importlib.data.json,7768,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_typeshed/importlib.meta.json,1711,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_warnings.data.json,19625,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_warnings.meta.json,1660,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_weakref.data.json,23500,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_weakref.meta.json,1665,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_weakrefset.data.json,68276,Mypy type checking cache — auto-generated
.mypy_cache/3.10/_weakrefset.meta.json,1722,Mypy type checking cache — auto-generated
.mypy_cache/3.10/abc.data.json,30103,Mypy type checking cache — auto-generated
.mypy_cache/3.10/abc.meta.json,1695,Mypy type checking cache — auto-generated
.mypy_cache/3.10/argparse.data.json,237854,Mypy type checking cache — auto-generated
.mypy_cache/3.10/argparse.meta.json,1726,Mypy type checking cache — auto-generated
.mypy_cache/3.10/array.data.json,97840,Mypy type checking cache — auto-generated
.mypy_cache/3.10/array.meta.json,1710,Mypy type checking cache — auto-generated
.mypy_cache/3.10/ast.data.json,491582,Mypy type checking cache — auto-generated
.mypy_cache/3.10/ast.meta.json,1730,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/__init__.data.json,16842,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/__init__.meta.json,2083,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/base_events.data.json,130644,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/base_events.meta.json,1987,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/coroutines.data.json,42963,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/coroutines.meta.json,1724,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/events.data.json,244395,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/events.meta.json,2024,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/exceptions.data.json,11275,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/exceptions.meta.json,1692,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/futures.data.json,6170,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/futures.meta.json,1778,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/locks.data.json,32858,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/locks.meta.json,1838,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/mixins.data.json,3840,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/mixins.meta.json,1739,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/protocols.data.json,20004,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/protocols.meta.json,1743,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/queues.data.json,30077,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/queues.meta.json,1724,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/runners.data.json,5432,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/runners.meta.json,1756,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/selector_events.data.json,5688,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/selector_events.meta.json,1782,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/streams.data.json,41334,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/streams.meta.json,1865,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/subprocess.data.json,26523,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/subprocess.meta.json,1851,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/tasks.data.json,213068,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/tasks.meta.json,1882,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/threads.data.json,7363,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/threads.meta.json,1689,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/transports.data.json,31996,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/transports.meta.json,1768,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/unix_events.data.json,75563,Mypy type checking cache — auto-generated
.mypy_cache/3.10/asyncio/unix_events.meta.json,1848,Mypy type checking cache — auto-generated
.mypy_cache/3.10/atexit.data.json,10444,Mypy type checking cache — auto-generated
.mypy_cache/3.10/atexit.meta.json,1671,Mypy type checking cache — auto-generated
.mypy_cache/3.10/attr/__init__.data.json,194653,Mypy type checking cache — auto-generated
.mypy_cache/3.10/attr/__init__.meta.json,1886,Mypy type checking cache — auto-generated
.mypy_cache/3.10/attr/_cmp.data.json,4060,Mypy type checking cache — auto-generated
.mypy_cache/3.10/attr/_cmp.meta.json,1610,Mypy type checking cache — auto-generated
.mypy_cache/3.10/attr/_typing_compat.data.json,3550,Mypy type checking cache — auto-generated
.mypy_cache/3.10/attr/_typing_compat.meta.json,1630,Mypy type checking cache — auto-generated
.mypy_cache/3.10/attr/_version_info.data.json,7946,Mypy type checking cache — auto-generated
.mypy_cache/3.10/attr/_version_info.meta.json,1642,Mypy type checking cache — auto-generated
.mypy_cache/3.10/attr/converters.data.json,16182,Mypy type checking cache — auto-generated
.mypy_cache/3.10/attr/converters.meta.json,1634,Mypy type checking cache — auto-generated
.mypy_cache/3.10/attr/exceptions.data.json,13219,Mypy type checking cache — auto-generated
.mypy_cache/3.10/attr/exceptions.meta.json,1635,Mypy type checking cache — auto-generated
.mypy_cache/3.10/attr/filters.data.json,3892,Mypy type checking cache — auto-generated
.mypy_cache/3.10/attr/filters.meta.json,1627,Mypy type checking cache — auto-generated
.mypy_cache/3.10/attr/setters.data.json,8811,Mypy type checking cache — auto-generated
.mypy_cache/3.10/attr/setters.meta.json,1639,Mypy type checking cache — auto-generated
.mypy_cache/3.10/attr/validators.data.json,67667,Mypy type checking cache — auto-generated
